1.0000	0.0000	0.5435	0.4507
1.0000	0.0000	0.5545	0.4399
1.0000	0.0000	0.6926	0.3174
1.0000	0.0000	0.6122	0.4137
1.0000	0.0000	0.5781	0.4282
1.0000	0.0000	0.6316	0.3812
1.0000	0.0000	0.5494	0.4704
1.0000	0.0000	0.4246	0.5772
1.0000	0.0000	0.5182	0.4867
1.0000	0.0000	0.7429	0.2602
1.0000	0.0000	0.5147	0.4859
1.0000	0.0000	0.7093	0.2970
1.0000	0.0000	0.4239	0.5989
1.0000	0.0000	0.5292	0.4650
1.0000	0.0000	0.3708	0.6128
1.0000	0.0000	0.3740	0.6163
0.0000	1.0000	0.4497	0.5564
0.0000	1.0000	0.0293	0.9409
0.0000	1.0000	0.4822	0.5194
0.0000	1.0000	0.2593	0.7407
0.0000	1.0000	0.4559	0.5758
0.0000	1.0000	0.4684	0.5315
0.0000	1.0000	0.1386	0.8439
0.0000	1.0000	0.2431	0.7534
0.0000	1.0000	0.4627	0.5463
0.0000	1.0000	0.4581	0.5431
0.0000	1.0000	0.6129	0.4074
0.0000	1.0000	0.5819	0.4075
0.0000	1.0000	0.4957	0.5037
0.0000	1.0000	0.3825	0.6117
0.0000	1.0000	0.3241	0.6894
0.0000	1.0000	0.3286	0.6462
0.0000	1.0000	0.4360	0.5532
