0.0000	0.4337
0.0000	0.2715
0.0000	0.4425
0.0000	0.4093
0.0000	0.3265
0.0000	0.3387
0.0000	0.2017
0.0000	0.4752
0.0000	0.4575
0.0000	0.2909
0.0000	0.3687
0.0000	0.4276
0.0000	0.3661
0.0000	0.1176
0.0000	0.1939
0.0000	0.4317
0.0000	0.4277
0.0000	0.2387
0.0000	0.3287
0.0000	0.4135
0.0000	0.0776
0.0000	0.3280
0.0000	0.2479
0.0000	0.2730
0.0000	0.4432
0.0000	0.2406
0.0000	0.3206
0.0000	0.1093
0.0000	0.3332
0.0000	0.1674
0.0000	0.5431
0.0000	0.3903
0.0000	0.2500
1.0000	0.4937
1.0000	0.4684
1.0000	0.7444
1.0000	0.5157
1.0000	0.5595
1.0000	0.7225
1.0000	1.0026
1.0000	0.7620
1.0000	0.4432
1.0000	0.7407
1.0000	0.7763
1.0000	0.4637
1.0000	0.7516
1.0000	0.7114
1.0000	0.8726
1.0000	0.8534
1.0000	0.5560
1.0000	0.7256
1.0000	0.6826
1.0000	0.6465
1.0000	0.6877
1.0000	0.6580
1.0000	0.7157
1.0000	0.6768
1.0000	0.7087
1.0000	0.5704
1.0000	0.6194
1.0000	0.4233
1.0000	0.7272
1.0000	0.8015
1.0000	0.5956
1.0000	0.4103
1.0000	0.7962
1.0000	0.4979
1.0000	0.7307
1.0000	0.7526
1.0000	0.5148
1.0000	0.6516
1.0000	0.7524
1.0000	0.6600
1.0000	0.6765
1.0000	0.9555
1.0000	0.5600
1.0000	0.4993
1.0000	0.8050
1.0000	0.7563
